\begin{table}
\begin{tabular}{cccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & sSFR & dist_MS & dist_MS_lin \\
UDS & 5203 & 10.53529412 & 0.977 & 5.9400001 & 0.1 & 11.15 & 0.194 & 0.0031 & 42.2241066595 & 44.7313965617 & 1.38460907546 & 42.9429721576 & 44.428715197 & -1.37024562682 & -9.15068504454 & -10.7969053873 & -10.4810957821 \\
UDS & 25612 & 9.5301996982 & 0.98 & 4.6199999 & 0.2 & 10.54 & 0.053 & 0.0194 & 42.4105466956 & 44.1142368546 & 0.767449368377 & 43.0061753298 & 44.5077191623 & -1.29124166152 & -8.76275032982 & -10.4089706726 & -10.0931610674 \\
UDS & 16112 & 9.50105926222 & 0.981 & 4.6199999 & 0.2 & 10.79 & 0.096 & 0.0194 & 42.6605466956 & 44.3642368546 & 1.01744936838 & 43.0909253298 & 44.6136566623 & -1.18530416152 & -8.48360989384 & -10.1298302366 & -9.81402063142 \\
UDS & 20624 & 10.549003262 & 0.983 & 3.96 & 0.1 & 10.96 & 0.148 & 0.0031 & 42.0341066595 & 44.5413965617 & 1.19460907546 & 42.8785621576 & 44.348202697 & -1.45075812682 & -9.35439418654 & -11.0006145293 & -10.6848049241 \\
UDS & 18554 & 10.1335389084 & 0.99 & 5.2800002 & 0.1 & 10.75 & 0.091 & 0.0031 & 41.8241066595 & 44.3313965617 & 0.984609075465 & 42.8073721576 & 44.259215197 & -1.53974562682 & -9.14892983293 & -10.7951501757 & -10.4793405705 \\
UDS & 18285 & 11.079181246 & 0.996 & 5.2800002 & 0.1 & 11.77 & 0.464 & 0.0031 & 42.8441066595 & 45.3513965617 & 2.00460907546 & 43.1531521576 & 44.691440197 & -1.10752062682 & -9.07457217054 & -10.7207925133 & -10.4049829081 \\
UDS & 19891 & 9.90036712866 & 1.0 & 5.9400001 & 0.3 & 11.05 & 0.119 & 0.0489 & 43.3220538248 & 44.6109711474 & 1.26418366114 & 43.3151762466 & 44.8939703083 & -0.904990515524 & -8.63618346752 & -10.2824038103 & -9.9665942051 \\
UDS & 26578 & 8.89762709129 & 1.004 & 5.2800002 & 0.2 & 10.51 & 0.044 & 0.0194 & 42.3805466956 & 44.0842368546 & 0.737449368377 & 42.9960053298 & 44.4950066623 & -1.30395416152 & -8.16017772291 & -9.80639806572 & -9.49058846049 \\
UDS & 13281 & 10.3710678623 & 1.0094 & 3.96 & 0.3 & 11.27 & 0.166 & 0.0489 & 43.5420538248 & 44.8309711474 & 1.48418366114 & 43.3897562466 & 44.9871953083 & -0.811765515524 & -8.88688420116 & -10.533104544 & -10.2172949387 \\
UDS & 10988 & 9.93701610746 & 1.01 & 4.6199999 & 0.1 & 10.6 & 0.065 & 0.0031 & 41.6741066595 & 44.1813965617 & 0.834609075465 & 42.7565221576 & 44.195652697 & -1.60330812682 & -9.10240703199 & -10.7486273748 & -10.4328177696 \\
