field	ID	fagn_mir  lir	s24(mJy)
COS  11574   0.10  11.23  0.023
COS  11579   0.20  10.75  0.023
COS  11584   0.10  10.63  0.023
COS  11586   0.20   9.97  0.023
COS  11587   0.20   9.16  0.023
COS  11588   0.20  10.62  0.023
COS  11603   0.80  10.32  0.023
COS  11605   0.40  10.71  0.023
COS  11628   0.20  10.11  0.023
COS  11638   0.30   9.97  0.023
COS  11642   0.00   9.68  0.111
COS  11644   0.30   8.96  0.023
COS   1165   0.50  10.45  0.023
COS  11650   0.80  10.25  0.023
COS  11654   0.70  10.40  0.023
COS  11659   0.90  10.51  0.023
COS  11662   0.00  10.72  0.136
COS  11672   0.00  10.34  0.065
COS  11684   0.30  10.29  0.023
COS   1169   0.90  10.50  0.023
COS  11698   0.40   9.83  0.023
COS  11699   0.30  12.04  0.074
COS   1170   0.70  10.29  0.023
COS  11705   0.46  10.79  0.160
COS  11707   0.90  10.46  0.023
COS  11708   0.80  10.11  0.023
COS   1171   0.30   9.81  0.023
COS  11719   0.10  10.73  0.218
COS   1173   0.40  10.37  0.023
COS  11730   0.30  10.62  0.023
COS  11733   0.90  10.46  0.023
COS  11738   1.00  10.47  0.023
COS  11741   0.50   9.57  0.023
COS  11742   0.90  10.34  0.023
COS  11744   0.40  10.72  0.023
COS  11745   0.90  10.33  0.023
COS  11754   0.10   9.98  0.023
COS  11759   0.20  10.53  0.023
COS   1176   0.40   9.50  0.023
COS  11779   0.20  10.06  0.023
COS  11781   0.10  10.17  0.151
COS  11783   0.50   9.69  0.023
COS  11786   0.20  10.83  0.023
COS  11787   0.60  10.40  0.023
COS  11789   0.90  10.45  0.023
COS   1179   0.10  10.12  0.023
COS  11792   0.80  10.99  0.097
COS  11798   0.20  10.42  0.023
COS   1180   0.60  10.87  0.023
COS  11800   0.60  10.30  0.023
COS  11801   0.60   9.45  0.023
COS  11806   0.20   9.99  0.023
COS  11809   0.20  10.03  0.023
COS  11811   0.28  10.50  0.023
COS  11812   0.20  10.78  0.023
COS  11814   0.70  10.07  0.023
COS  11815   0.40  11.45  0.098
COS  11817   0.24   9.32  0.128
COS   1182   0.20  10.38  0.023
COS  11820   0.20  10.23  0.023
COS  11823   0.70  10.49  0.023
COS  11829   0.20  10.81  0.023
COS  11831   0.30  10.07  0.023
COS  11850   0.40  10.81  0.023
COS  11851   0.40  11.47  0.127
COS  11862   0.20  10.82  0.023
COS  11874   0.30   9.37  0.023
COS  11875   0.90  10.48  0.023
COS  11880   0.50  10.90  0.023
COS  11889   0.20  10.06  0.023
COS  11890   0.70  10.26  0.023
COS  11892   0.10  10.92  0.121
COS  11897   0.40   9.98  0.023
COS  11900   0.10  10.69  0.023
COS  11904   0.10  10.36  0.023
COS  11907   0.20  10.82  0.023
COS  11908   0.20  10.41  0.023
COS  11909   0.10  11.46  0.023
COS  11915   0.90  10.39  0.023
COS  11919   0.00  10.98  0.140
COS   1192   0.20  11.89  0.023
COS  11922   0.40   9.79  0.023
COS  11925   0.30  10.52  0.023
COS  11926   0.30   9.80  0.023
COS  11932   0.80  10.37  0.023
COS  11936   0.20  11.13  0.093
COS  11948   0.90  10.36  0.023
COS  11953   0.90  10.37  0.023
COS  11954   0.20  10.70  0.023
COS  11955   0.80   9.67  0.023
COS  11959   0.20  10.69  0.023
COS   1196   0.40  10.39  0.023
COS  11964   0.20  10.79  0.023
COS  11965   0.90  10.16  0.023
COS  11966   1.00  10.29  0.023
COS  11971   0.30  10.12  0.023
COS  11974   0.00  10.55  0.023
COS   1198   0.20  10.51  0.023
COS  11984   0.80  10.37  0.023
COS  11992   0.20  10.41  0.023
COS  11993   0.20  10.24  0.181
COS  12002   0.10   9.92  0.023
COS  12003   0.50  10.22  0.023
COS  12005   0.50   9.65  0.023
COS  12008   0.20  10.10  0.023
COS   1201   0.10   9.93  0.023
COS  12010   0.20  10.94  0.023
COS  12023   0.20  11.96  0.023
COS  12026   0.20  10.67  0.023
COS  12029   0.20  10.08  0.023
COS  12033   0.05  10.93  0.172
COS  12035   0.10   8.65  0.052
COS   1204   0.20  10.63  0.023
COS  12040   0.20  11.41  0.235
COS  12041   0.20  10.02  0.023
COS  12043   0.20  11.18  0.046
COS  12048   0.80   9.98  0.023
COS  12053   0.20  10.88  0.023
COS  12056   0.90  11.05  0.023
COS  12064   0.20  10.32  0.023
COS  12074   0.60   9.90  0.023
COS  12081   0.90  10.47  0.023
COS  12085   0.30  10.36  0.023
COS  12097   0.10  10.07  0.023
COS  12108   0.60   9.32  0.023
COS  12113   0.40  10.29  0.023
COS  12123   0.10  11.05  0.063
COS  12124   0.20  10.61  0.023
COS  12129   0.90  10.47  0.023
COS  12135   0.60  10.71  0.104
COS  12136   0.20  10.88  0.023
COS  12138   0.00  10.63  0.125
COS  12143   0.50  10.41  0.023
COS  12146   0.10  10.47  0.110
COS  12148   0.50   9.61  0.023
COS  12152   0.08   8.82  0.023
COS  12154   0.40  10.70  0.023
COS  12156   0.70   9.03  0.023
COS  12162   0.90  10.32  0.023
COS  12165   0.10  11.69  0.260
COS  12166   0.50   9.77  0.023
COS   1218   0.15   9.34  0.023
COS  12187   0.20  10.81  0.023
COS  12189   0.20  10.84  0.052
COS   1219   0.70  10.01  0.023
COS  12193   0.40  10.80  0.023
COS  12194   0.30  10.96  0.023
COS  12195   0.50  10.44  0.023
COS  12197   0.50   9.57  0.023
COS  12205   0.00  11.23  0.260
COS  12215   0.60   9.21  0.023
COS  12218   0.90  10.40  0.023
COS  12229   0.20  10.82  0.023
COS   1223   0.20  10.55  0.023
COS  12232   0.70  10.52  0.023
COS  12233   0.20  10.74  0.023
COS  12240   0.20  10.82  0.023
COS  12244   0.30  10.57  0.023
COS  12245   0.20  10.12  0.023
COS  12246   0.20  10.69  0.139
COS  12257   0.40   9.32  0.023
COS  12263   1.00  10.50  0.091
COS  12274   0.20  10.52  0.023
COS  12276   0.20  10.03  0.023
COS  12294   0.20   9.75  0.023
COS  12296   0.70  11.17  0.185
COS  12297   0.60   9.82  0.023
COS  12312   0.10  10.00  0.023
COS  12319   0.08   9.82  0.023
COS  12324   0.20  10.81  0.023
COS  12325   0.40  10.00  0.023
COS  12336   1.00  10.08  0.023
COS  12338   0.30   9.77  0.023
COS  12345   0.32   8.39  0.023
COS  12346   0.10  10.95  0.115
COS  12360   0.20  10.80  0.023
COS  12364   0.00   9.95  0.023
COS  12368   0.80  10.49  0.023
COS  12374   0.40   9.59  0.023
COS  12376   0.20  10.70  0.023
COS  12378   0.20  10.27  0.023
COS  12383   0.00  10.68  0.080
COS  12384   0.80   9.66  0.023
COS  12388   0.90  10.51  0.023
COS   1239   0.20  11.44  0.137
COS  12394   0.50   9.92  0.023
COS  12398   0.20  10.34  0.023
COS    124   0.20  10.18  0.023
COS  12407   0.20  10.84  0.023
COS  12408   0.40  10.38  0.023
COS  12415   0.20  10.64  0.023
COS  12417   0.10  10.13  0.023
COS  12423   0.20  10.12  0.023
COS  12428   0.40   9.27  0.023
COS  12429   0.15  10.91  0.255
COS  12433   0.50  11.37  0.243
COS  12436   0.20  10.86  0.041
COS  12437   0.20   9.58  0.023
COS  12438   0.00  11.13  0.305
COS  12442   0.50   9.50  0.023
COS  12443   1.00   9.65  0.023
COS   1245   0.20  10.09  0.023
COS  12454   0.20  10.80  0.023
COS  12468   0.10   9.89  0.023
COS  12488   0.00  10.07  0.091
COS   1249   0.40   9.99  0.023
COS  12491   0.70   9.96  0.023
COS  12494   0.30   8.85  0.023
COS    125   0.30  10.68  0.023
COS  12504   0.05   9.90  0.023
COS  12509   0.46   9.14  0.023
COS   1251   0.50   9.87  0.023
COS  12510   0.30  10.28  0.023
COS  12512   0.20   9.27  0.073
COS  12515   0.20  10.55  0.023
COS  12517   0.90  10.34  0.023
COS  12528   0.50   9.47  0.023
COS  12542   0.20  10.62  0.023
COS  12545   0.30  10.10  0.023
COS  12548   0.50   9.85  0.023
COS   1255   0.90  10.55  0.023
COS  12550   0.40  10.86  0.023
COS  12554   0.30  11.11  0.213
COS  12555   1.00  10.08  0.023
COS  12557   0.20  10.81  0.023
COS  12564   0.00  10.42  0.023
COS  12566   0.20  10.82  0.324
COS  12570   0.20  10.68  0.023
COS  12572   0.10  10.57  0.023
COS  12573   0.42   9.93  0.023
COS  12583   0.50   9.48  0.023
COS  12587   0.40   9.86  0.023
COS  12589   0.10  10.84  0.160
COS  12598   0.10  11.58  0.139
COS    126   0.60  10.70  0.023
COS  12602   0.40  10.71  0.023
COS  12612   0.20  10.55  0.023
COS  12615   0.70   8.92  0.023
COS  12616   0.10   7.88  0.076
COS  12620   0.10  10.62  0.023
COS  12622   0.00  10.51  0.057
COS  12635   0.20  10.99  0.050
COS   1264   0.20  10.65  0.023
COS  12641   0.20  10.31  0.023
COS  12646   0.20  10.76  0.023
COS   1266   0.10  12.01  0.278
COS  12660   0.50   9.74  0.023
COS  12662   0.16  11.58  0.130
COS  12665   0.80   9.63  0.023
COS  12666   0.50   9.86  0.023
COS  12667   0.20  10.63  0.023
COS  12668   0.90  10.47  0.023
COS  12670   0.50  10.28  0.104
COS  12672   0.90  10.52  0.023
COS  12675   0.70   9.42  0.023
COS  12676   0.90  10.43  0.023
COS  12677   0.20  11.24  0.401
COS   1269   0.90  10.37  0.023
COS  12695   1.00  10.33  0.023
COS  12710   1.00   9.56  0.023
COS  12713   1.00  10.19  0.023
COS  12716   0.60   9.08  0.023
COS   1272   0.30  10.85  0.183
COS  12725   0.40  11.28  0.150
COS  12728   0.20  10.59  0.023
COS  12735   0.10  10.36  0.059
COS  12740   0.90  10.39  0.023
COS  12744   0.10   9.39  0.023
COS  12748   0.50   9.29  0.023
COS   1275   0.20  10.36  0.023
COS  12758   0.20  10.50  0.023
COS  12759   0.00  11.24  0.343
COS  12761   0.80  10.02  0.023
COS  12772   1.00  10.99  0.328
COS  12777   0.20  10.66  0.023
COS  12785   0.80   8.99  0.023
COS  12787   0.90  10.43  0.023
COS  12795   0.20  11.05  0.308
COS  12796   0.40   9.93  0.023
COS  12808   0.10  11.73  0.243
COS  12809   0.16  11.55  0.158
COS  12816   0.02   9.80  0.023
COS  12818   0.90  10.48  0.023
COS   1282   0.60   9.29  0.023
COS  12828   0.20  10.16  0.023
COS  12829   0.30  10.63  0.023
COS   1283   0.30  10.58  0.023
COS  12833   0.60   9.81  0.023
COS  12834   0.10  10.14  0.023
COS  12840   0.10  10.97  0.023
COS  12847   0.80  10.48  0.023
COS  12851   0.30  10.70  0.023
COS  12853   0.20   9.42  0.023
COS   1286   0.20  10.57  0.023
COS  12873   0.10  10.70  0.080
COS  12878   0.60   9.77  0.023
COS  12888   0.40   9.74  0.023
COS   1289   0.70   9.63  0.023
COS  12894   0.08   8.69  0.023
COS   1290   0.20  10.86  0.023
COS  12904   0.20   9.51  0.023
COS  12910   0.50   9.23  0.023
COS  12911   0.40  10.80  0.023
COS  12912   0.40   9.68  0.023
COS  12913   0.20  10.58  0.023
COS  12914   0.00  10.25  0.023
COS  12915   0.20  10.11  0.023
COS   1292   0.20  10.73  0.023
COS  12929   0.00  11.39  0.240
COS  12932   0.10  10.20  0.023
COS  12933   0.28  10.17  0.023
COS  12936   0.00   9.68  0.050
COS  12937   0.80   9.68  0.023
COS  12950   0.20  10.52  0.023
COS  12951   0.20  10.12  0.023
COS  12957   0.06  10.59  0.023
COS  12958   0.90  10.50  0.023
COS  12978   0.30  10.90  0.276
COS   1298   0.11  10.65  0.946
COS  12982   0.30  11.02  0.151
COS  12983   0.20  10.81  0.023
COS  12990   0.40  10.46  0.023
COS  12995   0.00  10.15  0.023
COS  12997   0.00  10.57  0.072
COS  12999   0.30  10.69  0.023
COS   1301   0.00  11.36  0.387
COS  13010   0.20   9.95  0.023
COS  13017   0.50  10.65  0.091
COS  13019   0.50  10.14  0.023
COS  13020   0.00  11.38  0.204
COS  13021   0.00  10.14  0.023
COS  13022   0.00  11.38  0.083
COS  13025   0.80  10.20  0.023
COS  13026   0.20  10.57  0.023
COS  13030   0.40   9.92  0.023
COS  13040   0.10  10.01  0.023
COS  13043   0.70   9.09  0.023
COS  13053   0.90  10.31  0.023
COS  13054   0.20  10.87  0.023
COS   1307   0.10  10.11  0.023
COS  13074   0.20   9.92  0.023
COS  13075   0.60   9.80  0.023
COS  13081   0.40   9.91  0.023
COS  13085   0.20  10.88  0.023
COS  13086   0.20  10.67  0.023
COS  13087   0.40   9.75  0.023
COS   1309   0.10   9.77  0.023
COS  13091   0.00   9.31  0.023
COS  13093   0.30  10.38  0.023
COS  13101   0.10  10.21  0.023
COS  13102   0.10  10.49  0.081
COS  13104   0.70  10.16  0.023
COS  13105   0.20  10.66  0.023
COS  13136   0.00  10.58  0.105
COS  13148   0.30   8.51  0.023
COS  13154   0.90  10.36  0.023
COS  13158   0.50   9.84  0.023
COS  13160   0.00   9.99  0.023
COS  13162   0.90  10.54  0.023
COS  13163   0.80  10.26  0.023
COS  13173   0.20  10.65  0.023
COS  13178   1.00  10.14  0.023
COS  13186   0.20  10.65  0.023
COS   1319   0.20  10.83  0.023
COS  13200   0.30  10.72  0.023
COS  13201   0.40  11.26  0.023
COS  13204   0.60  10.89  0.023
COS  13209   0.20  10.70  0.023
COS   1321   0.20  10.11  0.023
COS  13214   0.90  10.50  0.023
COS   1322   0.20  10.56  0.023
COS  13225   0.20  11.43  0.447
COS   1323   0.20  10.29  0.023
COS  13235   0.20  10.80  0.023
COS   1324   0.00  10.36  0.023
COS  13240   0.20  10.65  0.023
COS  13243   0.20  10.82  0.023
COS  13249   0.50   9.97  0.023
COS  13251   0.70   9.25  0.023
COS  13254   0.00  10.37  0.064
COS   1327   0.90  10.46  0.023
COS  13272   0.80  10.39  0.023
COS  13278   0.08   9.86  0.023
COS  13287   0.90  10.48  0.023
COS  13288   0.30  11.14  0.274
COS  13289   1.00  10.13  0.023
COS  13295   0.00  10.75  0.114
COS  13296   0.90  10.47  0.023
COS  13297   0.10   9.42  0.023
COS    133   0.70  10.67  0.023
COS  13304   0.20  10.83  0.023
COS  13309   0.50   9.53  0.023
COS  13326   0.90  10.48  0.023
COS  13336   0.00  10.61  0.223
COS  13341   0.06  10.29  0.023
COS  13342   0.60   9.65  0.023
COS  13343   0.70  11.42  0.063
COS  13345   0.30  11.33  0.078
COS  13349   0.80   9.08  0.023
COS  13354   0.20  10.24  0.023
COS  13357   0.70  10.71  0.023
COS   1336   0.40  10.33  0.023
COS  13375   0.17   8.77  0.023
COS  13377   0.30   9.71  0.023
COS  13379   0.20  10.62  0.023
COS   1338   1.00   9.61  0.023
COS  13390   0.05  11.47  0.641
COS  13396   0.90  10.48  0.023
COS    134   0.10  10.15  0.023
COS  13403   0.20  10.17  0.023
COS  13408   0.20  10.66  0.023
COS  13419   0.20  10.10  0.023
COS  13420   0.40  10.17  0.023
COS  13425   0.20  10.67  0.023
COS  13427   0.20  10.60  0.023
COS  13431   1.00   9.65  0.023
