\begin{table}
\begin{tabular}{cccccccc}
field & ID & HLx & lbol & BHAR_xray & M_med & zbest & BHAR \\
COS & 947 & 44.28631 & 46.1078875 & 0.308926676211 & 10.5001 & 1.72 & -0.395394437611 \\
EGS & 13725 & 44.2019 & 46.002375 & 0.203414176211 & 9.84373 & 1.724 & -0.747106937611 \\
UDS & 24896 & 43.49329 & 45.1166125 & -0.682348323789 & 10.8299466959 & 1.724 & -1.03699166152 \\
EGS & 11386 & 43.79889 & 45.4986125 & -0.300348323789 & 10.4304 & 1.738 & -0.719179161519 \\
UDS & 18277 & 43.41236 & 45.01545 & -0.783510823789 & 10.6711728427 & 1.74 & -0.42346237542 \\
UDS & 3301 & 44.80584 & 46.7573 & 0.958339176211 & 10.9694159124 & 1.7415 & -0.296219380546 \\
UDS & 2067 & 43.33839 & 44.9229875 & -0.875973323789 & 11.0334237555 & 1.743 & -0.514044437611 \\
EGS & 13098 & 43.38701 & 44.9837625 & -0.815198323789 & 10.4588 & 1.753 & -0.833591661519 \\
UDS & 9480 & 44.17532 & 45.96915 & 0.170189176211 & 9.85672889038 & 1.763 & -0.451269258543 \\
UDS & 3366 & 44.69675 & 46.6209375 & 0.821976676211 & 11.1303337685 & 1.767 & -0.306509127611 \\
UDS & 22264 & 43.88628 & 45.60785 & -0.191110823789 & 10.7972675408 & 1.776 & -1.10328312682 \\
EGS & 4980 & 43.2696 & 44.837 & -0.961960823789 & 11.0329 & 1.776 & -0.777865515524 \\
UDS & 22888 & 44.0321 & 45.790125 & -0.00883582378907 & 10.4502491083 & 1.785 & -0.646503015524 \\
UDS & 4350 & 43.39004 & 44.98755 & -0.811410823789 & 10.8438554226 & 1.787 & -0.608365515524 \\
UDS & 15547 & 43.70863 & 45.3857875 & -0.413173323789 & 10.3873898263 & 1.789 & -1.23888312682 \\
EGS & 13088 & 43.28271 & 44.8533875 & -0.945573323789 & 10.9148 & 1.791 & -0.485478015524 \\
EGS & 29008 & 43.66991 & 45.3373875 & -0.461573323789 & 10.7326 & 1.793 & -0.383997025969 \\
UDS & 4165 & 44.05901 & 45.8237625 & 0.0248016762109 & 10.6283889301 & 1.798 & -0.863254161519 \\
UDS & 15222 & 43.99203 & 45.7400375 & -0.0589233237891 & 10.8998205024 & 1.807 & -0.791216661519 \\
EGS & 28939 & 43.71666 & 45.395825 & -0.403135823789 & 10.852 & 1.83 & -0.757316661519 \\
GDS & 20715 & 42.84211 & 44.3026375 & -1.49632332379 & 10.44 & 1.838 & -1.12174166152 \\
EGS & 498 & 44.00153 & 45.7519125 & -0.0470483237891 & 10.3545 & 1.849 & -1.05330301552 \\
GDS & 18801 & 43.52019 & 45.1502375 & -0.648723323789 & 11.19 & 1.849 & -1.15413312682 \\
EGS & 23888 & 44.28138 & 46.101725 & 0.302764176211 & 10.8622 & 1.856 & -0.667690515524 \\
UDS & 14916 & 43.27308 & 44.84135 & -0.957610823789 & 10.5587085705 & 1.856 & -0.710065515524 \\
UDS & 9655 & 43.86277 & 45.5784625 & -0.220498323789 & 10.3364597338 & 1.86 & -0.314984127611 \\
COS & 4477 & 44.00982 & 45.762275 & -0.0366858237891 & 9.36923 & 1.869 & -0.934653015524 \\
COS & 22684 & 44.17097 & 45.9637125 & 0.164751676211 & 10.9314 & 1.87 & -0.314984127611 \\
