\begin{table}
\begin{tabular}{cccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & sSFR & dist_MS & dist_MS_lin \\
COS & 27475 & 10.7209 & 0.853 & 4.62 & 0.1 & 11.22 & 0.27 & 0.0031 & 42.2941066595 & 44.8013965617 & 1.45460907546 & 42.9667021576 & 44.458377697 & -1.34058312682 & -9.26629092454 & -11.0669338572 & -10.899264605 \\
COS & 11083 & 9.87632 & 0.855 & 4.62 & 0.3 & 10.84 & 0.071 & 0.0489 & 43.1120538248 & 44.4009711474 & 1.05418366114 & 43.2439862466 & 44.8049828083 & -0.993978015524 & -8.82213633886 & -10.6227792716 & -10.4551100193 \\
COS & 20680 & 10.6748 & 0.8558 & 5.28 & 0.3 & 10.84 & 0.269 & 0.0489 & 43.1120538248 & 44.4009711474 & 1.05418366114 & 43.2439862466 & 44.8049828083 & -0.993978015524 & -9.62061633886 & -11.4212592716 & -11.2535900193 \\
COS & 25201 & 10.7667 & 0.856 & 5.28 & 0.3 & 11.34 & 0.599 & 0.0489 & 43.6120538248 & 44.9009711474 & 1.55418366114 & 43.4134862466 & 45.0168578083 & -0.782103015524 & -9.21251633886 & -11.0131592716 & -10.8454900193 \\
COS & 25299 & 9.8572 & 0.856 & 5.28 & 0.1 & 10.37 & 0.044 & 0.0031 & 41.4441066595 & 43.9513965617 & 0.604609075465 & 42.6785521576 & 44.098190197 & -1.70077062682 & -9.25259092454 & -11.0532338572 & -10.885564605 \\
COS & 16745 & 8.35148 & 0.859 & 5.28 & 0.4 & 10.83 & 0.089 & 0.0916 & 43.3746404394 & 44.3710220912 & 1.02423460501 & 43.3330031089 & 44.9162538862 & -0.882706937611 & -7.32724539499 & -9.12788832769 & -8.96021907543 \\
COS & 18565 & 10.5162 & 0.8599 & 4.62 & 0.1 & 11.39 & 0.251 & 0.0031 & 42.4641066595 & 44.9713965617 & 1.62460907546 & 43.0243321576 & 44.530415197 & -1.26854562682 & -8.89159092454 & -10.6922338572 & -10.524564605 \\
COS & 9636 & 10.117 & 0.86 & 5.28 & 0.1 & 10.4 & 0.08 & 0.0031 & 41.4741066595 & 43.9813965617 & 0.634609075465 & 42.6887221576 & 44.110902697 & -1.68805812682 & -9.48239092454 & -11.2830338572 & -11.115364605 \\
COS & 5724 & 9.88923 & 0.86 & 5.28 & 0.1 & 10.52 & 0.062 & 0.0031 & 41.5941066595 & 44.1013965617 & 0.754609075465 & 42.7294021576 & 44.161752697 & -1.63720812682 & -9.13462092453 & -10.9352638572 & -10.767594605 \\
COS & 3955 & 10.8771 & 0.86 & 4.62 & 0.2 & 11.13 & 0.658 & 0.0194 & 43.0005466956 & 44.7042368546 & 1.35744936838 & 43.2061853298 & 44.7577316623 & -1.04122916152 & -9.51965063162 & -11.3202935643 & -11.1526243121 \\
COS & 19801 & 9.71706 & 0.861 & 5.28 & 0.1 & 10.28 & 0.037 & 0.0031 & 41.3541066595 & 43.8613965617 & 0.514609075465 & 42.6480421576 & 44.060052697 & -1.73890812682 & -9.20245092454 & -11.0030938572 & -10.835424605 \\
COS & 12263 & 8.96081 & 0.8611 & 8.58 & 1.0 & 10.5 & 0.091 & 0.625 & 43.878624983 & 43.6567762334 & 0.309988747194 & 43.5038538692 & 45.1298173366 & -0.669143487228 & -8.65082125281 & -10.4514641855 & -10.2837949333 \\
COS & 27036 & 9.88356 & 0.862 & 3.5 & 0.2 & 10.51 & 0.089 & 0.0194 & 42.3805466956 & 44.0842368546 & 0.737449368377 & 42.9960053298 & 44.4950066623 & -1.30395416152 & -9.14611063162 & -10.9467535643 & -10.7790843121 \\
COS & 25737 & 10.5934 & 0.863 & 4.62 & 0.2 & 11.18 & 0.371 & 0.0194 & 43.0505466956 & 44.7542368546 & 1.40744936838 & 43.2231353298 & 44.7789191623 & -1.02004166152 & -9.18595063162 & -10.9865935643 & -10.8189243121 \\
COS & 5765 & 10.8424 & 0.867 & 4.62 & 0.2 & 11.16 & 0.383 & 0.0194 & 43.0305466956 & 44.7342368546 & 1.38744936838 & 43.2163553298 & 44.7704441623 & -1.02851666152 & -9.45495063162 & -11.2555935643 & -11.0879243121 \\
COS & 13861 & 9.7439 & 0.868 & 4.62 & 0.2 & 10.51 & 0.069 & 0.0194 & 42.3805466956 & 44.0842368546 & 0.737449368377 & 42.9960053298 & 44.4950066623 & -1.30395416152 & -9.00645063162 & -10.8070935643 & -10.6394243121 \\
COS & 21671 & 9.04978 & 0.868 & 4.62 & 0.2 & 10.7 & 0.091 & 0.0194 & 42.5705466956 & 44.2742368546 & 0.927449368377 & 43.0604153298 & 44.5755191623 & -1.22344166152 & -8.12233063162 & -9.92297356432 & -9.75530431207 \\
COS & 13533 & 9.56104 & 0.869 & 5.28 & 0.3 & 10.44 & 0.068 & 0.0489 & 42.7120538248 & 44.0009711474 & 0.654183661141 & 43.1083862466 & 44.6354828083 & -1.16347801552 & -8.90685633886 & -10.7074992716 & -10.5398300193 \\
COS & 6735 & 9.82912 & 0.869 & 4.62 & 0.1 & 10.58 & 0.065 & 0.0031 & 41.6541066595 & 44.1613965617 & 0.814609075465 & 42.7497421576 & 44.187177697 & -1.61178312682 & -9.01451092453 & -10.8151538572 & -10.647484605 \\
COS & 4545 & 9.78847 & 0.87 & 5.28 & 0.1 & 10.63 & 0.073 & 0.0031 & 41.7041066595 & 44.2113965617 & 0.864609075465 & 42.7666921576 & 44.208365197 & -1.59059562682 & -8.92386092454 & -10.7245038572 & -10.556834605 \\
COS & 3580 & 10.6561 & 0.87 & 4.62 & 0.3 & 11.15 & 0.231 & 0.0489 & 43.4220538248 & 44.7109711474 & 1.36418366114 & 43.3490762466 & 44.9363453083 & -0.862615515524 & -9.29191633886 & -11.0925592716 & -10.9248900193 \\
COS & 8715 & 9.91151 & 0.87 & 6.6 & 0.1 & 10.61 & 0.072 & 0.0031 & 41.6841066595 & 44.1913965617 & 0.844609075465 & 42.7599121576 & 44.199890197 & -1.59907062682 & -9.06690092454 & -10.8675438572 & -10.699874605 \\
COS & 13225 & 10.8552 & 0.87 & 4.62 & 0.2 & 11.43 & 0.447 & 0.0194 & 43.3005466956 & 45.0042368546 & 1.65744936838 & 43.3078853298 & 44.8848566623 & -0.914104161519 & -9.19775063162 & -10.9983935643 & -10.8307243121 \\
COS & 23191 & 9.87954 & 0.87 & 5.28 & 0.2 & 10.77 & 0.094 & 0.0194 & 42.6405466956 & 44.3442368546 & 0.997449368377 & 43.0841453298 & 44.6051816623 & -1.19377916152 & -8.88209063162 & -10.6827335643 & -10.5150643121 \\
COS & 2496 & 10.5455 & 0.87 & 4.62 & 0.3 & 11.02 & 0.233 & 0.0489 & 43.2920538248 & 44.5809711474 & 1.23418366114 & 43.3050062466 & 44.8812578083 & -0.917703015524 & -9.31131633886 & -11.1119592716 & -10.9442900193 \\
COS & 26548 & 10.5859 & 0.87 & 5.28 & 0.3 & 11.25 & 0.283 & 0.0489 & 43.5220538248 & 44.8109711474 & 1.46418366114 & 43.3829762466 & 44.9787203083 & -0.820240515524 & -9.12171633886 & -10.9223592716 & -10.7546900193 \\
COS & 17524 & 9.76017 & 0.871 & 4.62 & 0.2 & 10.67 & 0.092 & 0.0194 & 42.5405466956 & 44.2442368546 & 0.897449368377 & 43.0502453298 & 44.5628066623 & -1.23615416152 & -8.86272063162 & -10.6633635643 & -10.4956943121 \\
COS & 1272 & 11.1981 & 0.873 & 4.62 & 0.3 & 10.85 & 0.183 & 0.0489 & 43.1220538248 & 44.4109711474 & 1.06418366114 & 43.2473762466 & 44.8092203083 & -0.989740515524 & -10.1339163389 & -11.9345592716 & -11.7668900193 \\
COS & 19858 & 9.63328 & 0.874 & 5.94 & 0.3 & 10.85 & 0.155 & 0.0489 & 43.1220538248 & 44.4109711474 & 1.06418366114 & 43.2473762466 & 44.8092203083 & -0.989740515524 & -8.56909633886 & -10.3697392716 & -10.2020700193 \\
COS & 27471 & 9.86754 & 0.876 & 4.62 & 0.1 & 11.28 & 0.268 & 0.0031 & 42.3541066595 & 44.8613965617 & 1.51460907546 & 42.9870421576 & 44.483802697 & -1.31515812682 & -8.35293092454 & -10.1535738572 & -9.98590460498 \\
