\begin{table}
\begin{tabular}{cccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & sSFR & dist_MS & dist_MS_lin \\
EGS & 29219 & 9.35385 & 0.91 & 3.96 & 0.2 & 11.37 & 0.16 & 0.0194 & 43.2405466956 & 44.9442368546 & 1.59744936838 & 43.2875453298 & 44.8594316623 & -0.939529161519 & -7.75640063162 & -9.14456935537 & -8.80659325819 \\
EGS & 26099 & 9.434 & 0.91 & 4.62 & 0.1 & 10.68 & 0.028 & 0.0031 & 41.7541066595 & 44.2613965617 & 0.914609075465 & 42.7836421576 & 44.229552697 & -1.56940812682 & -8.51939092453 & -9.90755964829 & -9.56958355111 \\
EGS & 2201 & 9.90085 & 0.9127 & 4.62 & 0.3 & 11.2 & 0.099 & 0.0489 & 43.4720538248 & 44.7609711474 & 1.41418366114 & 43.3660262466 & 44.9575328083 & -0.841428015524 & -8.48666633886 & -9.87483506261 & -9.53685896543 \\
EGS & 26356 & 9.69044 & 0.915 & 4.62 & 0.1 & 10.58 & 0.059 & 0.0031 & 41.6541066595 & 44.1613965617 & 0.814609075465 & 42.7497421576 & 44.187177697 & -1.61178312682 & -8.87583092454 & -10.2639996483 & -9.92602355111 \\
EGS & 26812 & 11.178 & 0.9152 & 3.5 & 0.3 & 11.43 & 0.351 & 0.0489 & 43.7020538248 & 44.9909711474 & 1.64418366114 & 43.4439962466 & 45.0549953083 & -0.743965515524 & -9.53381633886 & -10.9219850626 & -10.5840089654 \\
EGS & 15309 & 9.14483 & 0.923 & 5.28 & 0.2 & 10.75 & 0.042 & 0.0194 & 42.6205466956 & 44.3242368546 & 0.977449368377 & 43.0773653298 & 44.5967066623 & -1.20225416152 & -8.16738063162 & -9.55554935538 & -9.21757325819 \\
EGS & 11492 & 10.1163 & 0.925 & 5.28 & 0.1 & 10.84 & 0.064 & 0.0031 & 41.9141066595 & 44.4213965617 & 1.07460907546 & 42.8378821576 & 44.297352697 & -1.50160812682 & -9.04169092454 & -10.4298596483 & -10.0918835511 \\
EGS & 11780 & 9.66364 & 0.925 & 3.96 & 0.2 & 10.6 & 0.059 & 0.0194 & 42.4705466956 & 44.1742368546 & 0.827449368377 & 43.0265153298 & 44.5331441623 & -1.26581666152 & -8.83619063162 & -10.2243593554 & -9.88638325819 \\
EGS & 11396 & 10.6952 & 0.93 & 4.62 & 0.3 & 11.15 & 0.119 & 0.0489 & 43.4220538248 & 44.7109711474 & 1.36418366114 & 43.3490762466 & 44.9363453083 & -0.862615515524 & -9.33101633886 & -10.7191850626 & -10.3812089654 \\
EGS & 5575 & 9.99416 & 0.932 & 3.96 & 0.2 & 10.64 & 0.132 & 0.0194 & 42.5105466956 & 44.2142368546 & 0.867449368377 & 43.0400753298 & 44.5500941623 & -1.24886666152 & -9.12671063162 & -10.5148793554 & -10.1769032582 \\
