\begin{table}
\begin{tabular}{ccccccccccccccccccccccccccc}
field_1 & ID & zbest_candels & gfit_n_h & SD_reliable & Irr_reliable & Compact_reliable & s14_RA & s14_Dec & visualHCPG_f_spheroid & visualHCPG_f_disk & visualHCPG_f_irr & visualHCPG_f_ps & field_2 & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR \\
GDS & 15497 & 1.94 & 5.7 & -99.0 & -99.0 & -99.0 & 53.23 & -27.78 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 9.61 & 1.943 & 5.28 & 0.2 & 10.77 & 0.029 & 0.0194 & 42.6405466956 & 44.3442368546 & 0.997449368377 & 43.0841453298 & 44.6051816623 & -1.19377916152 \\
GDS & 15518 & 1.55 & 0.9 & 0.19 & 0.0 & 0.0 & 53.14 & -27.78 & 0.48 & 1.0 & 0.08 & 0.0 & GDS & 10.08 & 1.491 & 3.96 & 0.1 & 10.94 & 0.035 & 0.0031 & 42.0141066595 & 44.5213965617 & 1.17460907546 & 42.8717821576 & 44.339727697 & -1.45923312682 \\
GDS & 15523 & 1.22 & 0.71 & 0.0 & 0.25 & 0.0 & 53.05 & -27.78 & 0.0 & 1.0 & 0.29 & 0.0 & GDS & 10.56 & 1.221 & 5.28 & 0.1 & 11.24 & 0.114 & 0.0031 & 42.3141066595 & 44.8213965617 & 1.47460907546 & 42.9734821576 & 44.466852697 & -1.33210812682 \\
GDS & 15586 & 1.89 & 1.17 & 0.0 & 0.0 & 0.0 & 53.05 & -27.78 & 0.12 & 1.0 & 0.02 & 0.01 & GDS & 10.85 & 1.885 & 5.94 & 0.2 & 10.88 & 0.057 & 0.0194 & 42.7505466956 & 44.4542368546 & 1.10744936838 & 43.1214353298 & 44.6517941623 & -1.14716666152 \\
GDS & 15614 & 1.92 & 3.58 & 0.81 & 0.0 & 0.0 & 53.15 & -27.78 & 0.71 & 0.04 & 0.0 & 0.49 & GDS & 9.94 & 1.919 & 3.5 & 0.3 & 11.36 & 0.064 & 0.0489 & 43.6320538248 & 44.9209711474 & 1.57418366114 & 43.4202662466 & 45.0253328083 & -0.773628015524 \\
GDS & 15656 & 1.74 & 0.83 & 0.0 & 0.12 & 0.0 & 53.07 & -27.78 & 0.01 & 0.96 & 0.3 & 0.0 & GDS & 10.15 & 1.735 & 5.28 & 0.1 & 11.54 & 0.106 & 0.0031 & 42.6141066595 & 45.1213965617 & 1.77460907546 & 43.0751821576 & 44.593977697 & -1.20498312682 \\
GDS & 15753 & 1.09 & 2.1 & 0.94 & 0.0 & 0.0 & 53.15 & -27.78 & 0.9 & 0.08 & 0.05 & 0.26 & GDS & 9.53 & 1.086 & 3.5 & 0.1 & 10.43 & 0.03 & 0.0031 & 41.5041066595 & 44.0113965617 & 0.664609075465 & 42.6988921576 & 44.123615197 & -1.67534562682 \\
GDS & 15787 & 0.84 & 0.76 & 0.0 & 0.0 & 0.0 & 53.06 & -27.78 & 0.09 & 1.0 & 0.0 & 0.0 & GDS & 9.99 & 0.837 & 4.62 & 0.2 & 10.98 & 0.157 & 0.0194 & 42.8505466956 & 44.5542368546 & 1.20744936838 & 43.1553353298 & 44.6941691623 & -1.10479166152 \\
GDS & 15812 & 1.74 & 0.91 & 0.0 & 0.0 & 0.0 & 53.03 & -27.78 & 0.0 & 0.97 & 0.04 & 0.02 & GDS & 9.65 & 1.74 & 6.6 & 0.2 & 10.77 & 0.031 & 0.0194 & 42.6405466956 & 44.3442368546 & 0.997449368377 & 43.0841453298 & 44.6051816623 & -1.19377916152 \\
GDS & 15898 & 1.43 & 0.99 & 0.12 & 0.0 & 0.0 & 53.19 & -27.78 & 0.59 & 1.0 & 0.0 & 0.0 & GDS & 9.94 & 1.426 & 4.62 & 0.2 & 10.51 & 0.041 & 0.0194 & 42.3805466956 & 44.0842368546 & 0.737449368377 & 42.9960053298 & 44.4950066623 & -1.30395416152 \\
GDS & 15901 & 1.22 & 5.88 & 0.88 & 0.0 & 0.0 & 53.19 & -27.78 & 1.0 & 0.62 & 0.0 & 0.09 & GDS & 10.05 & 1.22 & 5.94 & 0.3 & 10.61 & 0.057 & 0.0489 & 42.8820538248 & 44.1709711474 & 0.824183661141 & 43.1660162466 & 44.7075203083 & -1.09144051552 \\
GDS & 15924 & 1.02 & 0.66 & 0.25 & 0.25 & 0.0 & 53.07 & -27.77 & 0.37 & 0.82 & 0.37 & 0.0 & GDS & 9.27 & 1.02 & 3.96 & 0.2 & 10.84 & 0.094 & 0.0194 & 42.7105466956 & 44.4142368546 & 1.06744936838 & 43.1078753298 & 44.6348441623 & -1.16411666152 \\
GDS & 15940 & 2.08 & 4.73 & 0.38 & 0.5 & 0.0 & 53.1 & -27.78 & 0.34 & 0.64 & 0.55 & 0.08 & GDS & 9.92 & 2.0764 & 7.26 & 0.2 & 11.45 & 0.082 & 0.0194 & 43.3205466956 & 45.0242368546 & 1.67744936838 & 43.3146653298 & 44.8933316623 & -0.905629161519 \\
GDS & 15955 & 1.67 & 2.63 & 1.0 & 0.0 & 0.0 & 53.05 & -27.77 & 0.82 & 0.06 & 0.0 & 0.37 & GDS & 10.17 & 1.621 & 3.96 & 0.7 & 11.38 & 0.13 & 0.2989 & 44.4382708807 & 44.8085249328 & 1.46173744658 & 43.6935738286 & 45.3669672857 & -0.431993538079 \\
GDS & 15959 & 1.01 & 2.27 & 0.12 & 0.0 & 0.0 & 53.04 & -27.77 & 0.53 & 0.96 & 0.0 & 0.02 & GDS & 9.56 & 1.011 & 5.94 & 0.1 & 10.16 & 0.023 & 0.0031 & 41.2341066595 & 43.7413965617 & 0.394609075465 & 42.6073621576 & 44.009202697 & -1.78975812682 \\
GDS & 16139 & 2.23 & 2.28 & 0.08 & 0.38 & 0.0 & 53.12 & -27.77 & 0.12 & 0.54 & 0.23 & 0.0 & GDS & 10.44 & 2.227 & 5.94 & 0.2 & 11.68 & 0.166 & 0.0194 & 43.5505466956 & 45.2542368546 & 1.90744936838 & 43.3926353298 & 44.9907941623 & -0.808166661519 \\
GDS & 16151 & 1.98 & 8.0 & 1.0 & 0.25 & 0.5 & 53.16 & -27.77 & 0.54 & 0.0 & 0.0 & 0.65 & GDS & 10.68 & 2.113 & 3.5 & 0.9 & 11.16 & 0.096 & 0.5031 & 44.444399283 & 44.4390139624 & 1.09222647621 & 43.6956513569 & 45.3695641962 & -0.429396627611 \\
GDS & 16268 & 1.22 & 0.6 & 0.2 & 0.1 & 0.0 & 53.05 & -27.77 & 0.2 & 0.99 & 0.18 & 0.0 & GDS & 9.98 & 1.221 & 4.62 & 0.1 & 10.81 & 0.062 & 0.0031 & 41.8841066595 & 44.3913965617 & 1.04460907546 & 42.8277121576 & 44.284640197 & -1.51432062682 \\
GDS & 16274 & 2.23 & 6.9 & 0.81 & 0.3 & 0.0 & 53.13 & -27.77 & 0.77 & 0.68 & 0.47 & 0.0 & GDS & 11.22 & 2.225 & 4.62 & 0.7 & 11.93 & 0.344 & 0.2989 & 44.9882708807 & 45.3585249328 & 2.01173744658 & 43.8800238286 & 45.6000297857 & -0.19893103808 \\
GDS & 16303 & 1.62 & 0.71 & 0.0 & 0.2 & 0.0 & 53.08 & -27.77 & 0.06 & 0.94 & 0.14 & 0.02 & GDS & 10.38 & 1.623 & 4.62 & 0.3 & 11.35 & 0.083 & 0.0489 & 43.6220538248 & 44.9109711474 & 1.56418366114 & 43.4168762466 & 45.0210953083 & -0.777865515524 \\
GDS & 16377 & 1.44 & 0.85 & 0.0 & 0.0 & 0.0 & 53.08 & -27.77 & 0.02 & 1.0 & 0.02 & 0.01 & GDS & 9.95 & 1.436 & 5.28 & 0.3 & 10.93 & 0.046 & 0.0489 & 43.2020538248 & 44.4909711474 & 1.14418366114 & 43.2744962466 & 44.8431203083 & -0.955840515524 \\
GDS & 16396 & 1.6 & 0.94 & 0.4 & 0.1 & 0.0 & 53.1 & -27.77 & 0.3 & 0.82 & 0.18 & 0.02 & GDS & 9.75 & 1.604 & 4.62 & 0.2 & 10.94 & 0.032 & 0.0194 & 42.8105466956 & 44.5142368546 & 1.16744936838 & 43.1417753298 & 44.6772191623 & -1.12174166152 \\
GDS & 16435 & 1.09 & 1.33 & 0.1 & 0.0 & 0.0 & 53.15 & -27.77 & 0.47 & 1.0 & 0.0 & 0.0 & GDS & 10.54 & 1.094 & 3.5 & 0.1 & 11.43 & 0.118 & 0.0031 & 42.5041066595 & 45.0113965617 & 1.66460907546 & 43.0378921576 & 44.547365197 & -1.25159562682 \\
GDS & 16440 & 1.03 & 2.03 & 0.25 & 0.0 & 0.0 & 53.05 & -27.77 & 0.73 & 1.0 & 0.0 & 0.0 & GDS & 10.63 & 1.033 & 3.96 & 0.2 & 11.56 & 0.246 & 0.0194 & 43.4305466956 & 45.1342368546 & 1.78744936838 & 43.3519553298 & 44.9399441623 & -0.859016661519 \\
GDS & 16447 & 1.34 & 0.91 & 0.1 & 0.0 & 0.0 & 53.21 & -27.77 & 0.35 & 1.0 & 0.03 & 0.0 & GDS & 9.67 & 1.292 & 5.28 & 0.06 & 10.34 & 0.016 & 0.000276 & 40.3636540478 & 43.9226250839 & 0.575837597645 & 42.3122787222 & 43.6403484027 & -2.15861242105 \\
GDS & 16514 & 1.02 & 2.51 & 0.65 & 0.0 & 0.0 & 53.13 & -27.77 & 0.9 & 0.88 & 0.0 & 0.0 & GDS & 10.6 & 1.018 & 3.5 & 0.2 & 10.75 & 0.08 & 0.0194 & 42.6205466956 & 44.3242368546 & 0.977449368377 & 43.0773653298 & 44.5967066623 & -1.20225416152 \\
GDS & 16600 & 1.31 & 0.6 & 0.05 & 0.0 & 0.0 & 53.13 & -27.77 & 0.35 & 1.0 & 0.0 & 0.0 & GDS & 10.48 & 1.307 & 4.62 & 0.1 & 10.79 & 0.059 & 0.0031 & 41.8641066595 & 44.3713965617 & 1.02460907546 & 42.8209321576 & 44.276165197 & -1.52279562682 \\
GDS & 16604 & 1.61 & 1.96 & 0.65 & 0.0 & 0.0 & 53.07 & -27.77 & 0.78 & 0.78 & 0.0 & 0.09 & GDS & 10.08 & 1.61 & 3.96 & 0.2 & 11.85 & 0.108 & 0.0194 & 43.7205466956 & 45.4242368546 & 2.07744936838 & 43.4502653298 & 45.0628316623 & -0.736129161519 \\
GDS & 16616 & 1.22 & 4.69 & 0.62 & 0.25 & 0.0 & 53.02 & -27.77 & 0.73 & 0.87 & 0.28 & 0.0 & GDS & 10.82 & 1.221 & 4.62 & 0.1 & 11.08 & 0.163 & 0.0031 & 42.1541066595 & 44.6613965617 & 1.31460907546 & 42.9192421576 & 44.399052697 & -1.39990812682 \\
GDS & 16651 & 1.63 & 0.23 & 0.0 & 0.0 & 0.0 & 53.18 & -27.77 & 0.0 & 1.0 & 0.06 & 0.0 & GDS & 9.83 & 1.634 & 4.62 & 0.3 & 10.65 & 0.021 & 0.0489 & 42.9220538248 & 44.2109711474 & 0.864183661141 & 43.1795762466 & 44.7244703083 & -1.07449051552 \\
GDS & 16719 & 0.93 & 0.61 & 0.06 & 0.2 & 0.0 & 53.16 & -27.77 & 0.18 & 0.97 & 0.17 & 0.0 & GDS & 9.77 & 0.981 & 3.96 & 0.1 & 10.27 & 0.034 & 0.0031 & 41.3441066595 & 43.8513965617 & 0.504609075465 & 42.6446521576 & 44.055815197 & -1.74314562682 \\
GDS & 16754 & 1.22 & 3.89 & 0.6 & 0.2 & 0.0 & 53.08 & -27.77 & 0.83 & 0.94 & 0.41 & 0.0 & GDS & 10.23 & 1.221 & 4.62 & 0.2 & 10.91 & 0.069 & 0.0194 & 42.7805466956 & 44.4842368546 & 1.13744936838 & 43.1316053298 & 44.6645066623 & -1.13445416152 \\
GDS & 16813 & 0.97 & 0.79 & 0.2 & 0.0 & 0.0 & 53.06 & -27.77 & 0.23 & 0.92 & 0.09 & 0.01 & GDS & 9.56 & 0.9654 & 4.62 & 0.2 & 10.42 & 0.038 & 0.0194 & 42.2905466956 & 43.9942368546 & 0.647449368377 & 42.9654953298 & 44.4568691623 & -1.34209166152 \\
GDS & 16832 & 1.97 & 0.2 & 0.0 & 0.5 & 0.0 & 53.18 & -27.77 & 0.05 & 0.46 & 0.75 & 0.0 & GDS & 9.84 & 1.967 & 4.62 & 0.2 & 10.76 & 0.031 & 0.0194 & 42.6305466956 & 44.3342368546 & 0.987449368377 & 43.0807553298 & 44.6009441623 & -1.19801666152 \\
GDS & 16856 & 1.79 & 0.74 & 0.0 & 0.0 & 0.0 & 53.23 & -27.77 & 0.0 & 1.0 & 0.01 & 0.02 & GDS & 10.77 & 1.791 & 5.94 & 0.3 & 11.27 & 0.099 & 0.0489 & 43.5420538248 & 44.8309711474 & 1.48418366114 & 43.3897562466 & 44.9871953083 & -0.811765515524 \\
GDS & 16865 & 1.11 & 1.23 & 0.25 & 0.1 & 0.0 & 53.12 & -27.77 & 0.7 & 0.86 & 0.12 & 0.01 & GDS & 10.23 & 1.109 & 4.62 & 0.1 & 11.08 & 0.12 & 0.0031 & 42.1541066595 & 44.6613965617 & 1.31460907546 & 42.9192421576 & 44.399052697 & -1.39990812682 \\
GDS & 16972 & 2.3 & 0.95 & 0.0 & 0.5 & 0.0 & 53.08 & -27.77 & 0.0 & 0.62 & 0.21 & 0.03 & GDS & 10.66 & 1.618 & 7.26 & 0.2 & 12.12 & 0.326 & 0.0194 & 43.9905466956 & 45.6942368546 & 2.34744936838 & 43.5417953298 & 45.1772441623 & -0.621716661519 \\
GDS & 17071 & 1.27 & 2.34 & 1.0 & 0.0 & 0.0 & 53.03 & -27.77 & 0.95 & 0.54 & 0.0 & 0.08 & GDS & 10.18 & 1.272 & 5.28 & 0.1 & 10.72 & 0.048 & 0.0031 & 41.7941066595 & 44.3013965617 & 0.954609075465 & 42.7972021576 & 44.246502697 & -1.55245812682 \\
GDS & 17157 & 1.51 & 0.5 & 0.0 & 0.0 & 0.0 & 53.06 & -27.77 & 0.0 & 1.0 & 0.06 & 0.01 & GDS & 10.01 & 1.509 & 5.28 & 0.2 & 10.84 & 0.027 & 0.0194 & 42.7105466956 & 44.4142368546 & 1.06744936838 & 43.1078753298 & 44.6348441623 & -1.16411666152 \\
GDS & 17158 & 1.73 & 0.61 & 0.0 & 0.1 & 0.0 & 53.1 & -27.77 & 0.01 & 0.95 & 0.23 & 0.0 & GDS & 10.06 & 1.727 & 4.62 & 0.2 & 11.19 & 0.082 & 0.0194 & 43.0605466956 & 44.7642368546 & 1.41744936838 & 43.2265253298 & 44.7831566623 & -1.01580416152 \\
GDS & 17165 & 0.9 & 1.75 & 0.7 & 0.0 & 0.0 & 53.15 & -27.77 & 0.96 & 0.54 & 0.0 & 0.08 & GDS & 9.77 & 0.895 & 3.5 & 0.1 & 10.71 & 0.117 & 0.0031 & 41.7841066595 & 44.2913965617 & 0.944609075465 & 42.7938121576 & 44.242265197 & -1.55669562682 \\
GDS & 17213 & 1.22 & 1.45 & 0.88 & 0.0 & 0.0 & 53.09 & -27.77 & 0.85 & 0.56 & 0.14 & 0.04 & GDS & 9.17 & 1.224 & 4.62 & 0.1 & 10.4 & 0.019 & 0.0031 & 41.4741066595 & 43.9813965617 & 0.634609075465 & 42.6887221576 & 44.110902697 & -1.68805812682 \\
GDS & 17233 & 1.04 & 0.58 & 0.08 & 0.25 & 0.0 & 53.11 & -27.77 & 0.17 & 0.93 & 0.05 & 0.01 & GDS & 9.37 & 1.04 & 4.62 & 0.1 & 10.24 & 0.027 & 0.0031 & 41.3141066595 & 43.8213965617 & 0.474609075465 & 42.6344821576 & 44.043102697 & -1.75585812682 \\
GDS & 17259 & 1.33 & 1.97 & 0.0 & 0.0 & 0.0 & 53.03 & -27.77 & 0.5 & 0.89 & 0.0 & 0.06 & GDS & 10.88 & 1.329 & 4.62 & 0.1 & 11.64 & 0.131 & 0.0031 & 42.7141066595 & 45.2213965617 & 1.87460907546 & 43.1090821576 & 44.636352697 & -1.16260812682 \\
GDS & 17297 & 1.23 & 0.28 & 0.25 & 0.38 & 0.0 & 53.06 & -27.77 & 0.36 & 0.8 & 0.55 & 0.0 & GDS & 9.24 & 1.197 & 4.62 & 0.3 & 10.62 & 0.033 & 0.0489 & 42.8920538248 & 44.1809711474 & 0.834183661141 & 43.1694062466 & 44.7117578083 & -1.08720301552 \\
GDS & 17310 & 1.22 & 8.0 & 0.0 & 0.0 & 1.0 & 53.16 & -27.77 & 0.01 & 0.0 & 0.0 & 1.0 & GDS & 10.1 & 1.216 & 3.5 & 1.0 & 11.43 & 0.283 & 0.625 & 44.808624983 & 44.5867762334 & 1.23998874719 & 43.8191238692 & 45.5239048366 & -0.275055987228 \\
GDS & 17316 & 1.22 & 0.73 & 0.17 & 0.25 & 0.0 & 53.18 & -27.77 & 0.36 & 0.98 & 0.15 & 0.0 & GDS & 10.27 & 1.22 & 4.62 & 0.1 & 11.07 & 0.104 & 0.0031 & 42.1441066595 & 44.6513965617 & 1.30460907546 & 42.9158521576 & 44.394815197 & -1.40414562682 \\
GDS & 17377 & 1.8 & 1.42 & -99.0 & -99.0 & -99.0 & 53.2 & -27.76 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 9.08 & 1.803 & 4.62 & 0.2 & 10.38 & 0.013 & 0.0194 & 42.2505466956 & 43.9542368546 & 0.607449368377 & 42.9519353298 & 44.4399191623 & -1.35904166152 \\
GDS & 17386 & 1.22 & 1.62 & 0.17 & 0.0 & 0.0 & 53.1 & -27.77 & 0.55 & 1.0 & 0.02 & 0.0 & GDS & 10.49 & 1.223 & 4.62 & 0.1 & 11.54 & 0.097 & 0.0031 & 42.6141066595 & 45.1213965617 & 1.77460907546 & 43.0751821576 & 44.593977697 & -1.20498312682 \\
GDS & 17397 & 1.84 & 1.02 & 0.33 & 0.38 & 0.0 & 53.07 & -27.76 & 0.15 & 0.79 & 0.4 & 0.0 & GDS & 10.93 & 1.841 & 5.28 & 0.2 & 11.46 & 0.19 & 0.0194 & 43.3305466956 & 45.0342368546 & 1.68744936838 & 43.3180553298 & 44.8975691623 & -0.901391661519 \\
GDS & 17489 & 1.72 & 1.48 & 0.88 & 0.0 & 0.0 & 53.07 & -27.76 & 0.82 & 0.21 & 0.03 & 0.22 & GDS & 9.84 & 1.715 & 4.62 & 0.16 & 10.89 & 0.039 & 0.011296 & 42.5256696494 & 44.4678112569 & 1.12102377065 & 43.0452020111 & 44.5565025139 & -1.24245830986 \\
GDS & 17630 & 1.82 & 0.5 & 0.0 & 0.5 & 0.0 & 53.22 & -27.76 & 0.0 & 0.86 & 0.3 & 0.01 & GDS & 10.59 & 1.82 & 5.94 & 0.4 & 11.51 & 0.154 & 0.0916 & 44.0546404394 & 45.0510220912 & 1.70423460501 & 43.5635231089 & 45.2044038862 & -0.594556937611 \\
GDS & 17673 & 1.62 & 0.61 & 0.0 & 0.38 & 0.0 & 53.14 & -27.76 & 0.18 & 0.99 & 0.16 & 0.0 & GDS & 10.07 & 1.621 & 4.62 & 0.3 & 11.09 & 0.065 & 0.0489 & 43.3620538248 & 44.6509711474 & 1.30418366114 & 43.3287362466 & 44.9109203083 & -0.888040515524 \\
GDS & 17697 & 1.33 & 1.24 & 0.12 & 0.0 & 0.0 & 53.01 & -27.76 & 0.45 & 1.0 & 0.07 & 0.0 & GDS & 10.45 & 1.333 & 5.28 & 0.2 & 11.95 & 0.145 & 0.0194 & 43.8205466956 & 45.5242368546 & 2.17744936838 & 43.4841653298 & 45.1052066623 & -0.693754161519 \\
GDS & 17705 & 2.01 & 2.44 & 0.38 & 0.0 & 0.0 & 53.11 & -27.76 & 0.76 & 0.89 & 0.01 & 0.04 & GDS & 9.73 & 2.0065 & 5.28 & 0.2 & 10.65 & 0.026 & 0.0194 & 42.5205466956 & 44.2242368546 & 0.877449368377 & 43.0434653298 & 44.5543316623 & -1.24462916152 \\
GDS & 17713 & 1.37 & 2.18 & 0.75 & 0.0 & 0.0 & 53.22 & -27.76 & 0.86 & 0.7 & 0.05 & 0.04 & GDS & 10.36 & 1.368 & 4.62 & 0.3 & 12.27 & 0.246 & 0.0489 & 44.5420538248 & 45.8309711474 & 2.48418366114 & 43.7287562466 & 45.4109453083 & -0.388015515524 \\
GDS & 17744 & 2.07 & 0.2 & 0.0 & 0.5 & 0.0 & 53.09 & -27.76 & 0.01 & 0.25 & 0.88 & 0.0 & GDS & 10.29 & 2.073 & 4.62 & 0.1 & 11.92 & 0.171 & 0.0031 & 42.9941066595 & 45.5013965617 & 2.15460907546 & 43.2040021576 & 44.755002697 & -1.04395812682 \\
GDS & 17796 & 0.95 & 1.68 & 0.31 & 0.0 & 0.0 & 53.14 & -27.76 & 0.65 & 1.0 & 0.02 & 0.01 & GDS & 10.94 & 0.952 & 4.62 & 0.3 & 11.39 & 0.501 & 0.0489 & 43.6620538248 & 44.9509711474 & 1.60418366114 & 43.4304362466 & 45.0380453083 & -0.760915515524 \\
GDS & 17810 & 1.61 & 0.38 & 0.0 & 0.0 & 0.0 & 53.21 & -27.76 & 0.06 & 0.92 & 0.16 & 0.02 & GDS & 9.53 & 1.609 & 4.62 & 0.1 & 10.36 & 0.013 & 0.0031 & 41.4341066595 & 43.9413965617 & 0.594609075465 & 42.6751621576 & 44.093952697 & -1.70500812682 \\
GDS & 17813 & 2.15 & 3.59 & -99.0 & -99.0 & -99.0 & 53.22 & -27.76 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 9.76 & 2.245 & 4.62 & 0.2 & 10.57 & 0.016 & 0.0194 & 42.4405466956 & 44.1442368546 & 0.797449368377 & 43.0163453298 & 44.5204316623 & -1.27852916152 \\
GDS & 17824 & 1.54 & 0.47 & 0.0 & 0.75 & 0.0 & 53.17 & -27.76 & 0.02 & 0.57 & 0.65 & 0.0 & GDS & 10.27 & 1.463 & 3.96 & 0.1 & 11.52 & 0.148 & 0.0031 & 42.5941066595 & 45.1013965617 & 1.75460907546 & 43.0684021576 & 44.585502697 & -1.21345812682 \\
GDS & 17877 & 1.04 & 0.88 & 0.25 & 0.38 & 0.0 & 53.19 & -27.76 & 0.29 & 0.9 & 0.13 & 0.02 & GDS & 9.31 & 1.043 & 4.62 & 0.1 & 10.32 & 0.027 & 0.0031 & 41.3941066595 & 43.9013965617 & 0.554609075465 & 42.6616021576 & 44.077002697 & -1.72195812682 \\
GDS & 18029 & 1.56 & 0.91 & 0.0 & 0.0 & 0.0 & 53.03 & -27.76 & 0.06 & 1.0 & 0.18 & 0.0 & GDS & 10.0 & 1.565 & 5.94 & 0.2 & 11.11 & 0.049 & 0.0194 & 42.9805466956 & 44.6842368546 & 1.33744936838 & 43.1994053298 & 44.7492566623 & -1.04970416152 \\
GDS & 18068 & 1.9 & 2.71 & 0.62 & 0.0 & 0.0 & 53.09 & -27.76 & 0.79 & 0.61 & 0.01 & 0.08 & GDS & 10.25 & 1.994 & 5.28 & 0.2 & 11.56 & 0.045 & 0.0194 & 43.4305466956 & 45.1342368546 & 1.78744936838 & 43.3519553298 & 44.9399441623 & -0.859016661519 \\
GDS & 18123 & 1.1 & 0.3 & 0.0 & 0.0 & 0.0 & 53.21 & -27.76 & 0.0 & 0.9 & 0.35 & 0.0 & GDS & 9.96 & 1.104 & 4.62 & 0.1 & 10.63 & 0.051 & 0.0031 & 41.7041066595 & 44.2113965617 & 0.864609075465 & 42.7666921576 & 44.208365197 & -1.59059562682 \\
GDS & 18166 & 1.22 & 5.98 & 1.0 & 0.0 & 0.75 & 53.12 & -27.76 & 0.74 & 0.0 & 0.0 & 0.41 & GDS & 10.54 & 1.215 & 3.5 & 1.0 & 11.74 & 0.494 & 0.625 & 45.118624983 & 44.8967762334 & 1.54998874719 & 43.9242138692 & 45.6552673366 & -0.143693487228 \\
GDS & 18177 & 1.38 & 1.18 & 0.12 & 0.0 & 0.0 & 53.05 & -27.76 & 0.34 & 0.99 & 0.08 & 0.0 & GDS & 10.13 & 1.375 & 4.62 & 0.2 & 11.1 & 0.067 & 0.0194 & 42.9705466956 & 44.6742368546 & 1.32744936838 & 43.1960153298 & 44.7450191623 & -1.05394166152 \\
GDS & 18233 & 0.86 & 1.64 & 0.0 & 0.75 & 0.0 & 53.2 & -27.76 & 0.06 & 0.67 & 0.49 & 0.0 & GDS & 8.8 & 0.858 & 6.6 & 0.1 & 10.05 & 0.018 & 0.0031 & 41.1241066595 & 43.6313965617 & 0.284609075465 & 42.5700721576 & 43.962590197 & -1.83637062682 \\
GDS & 18243 & 1.19 & 0.58 & 0.0 & 0.25 & 0.0 & 53.02 & -27.76 & 0.15 & 0.84 & 0.33 & 0.0 & GDS & 10.7 & 1.189 & 4.62 & 0.1 & 11.29 & 0.207 & 0.0031 & 42.3641066595 & 44.8713965617 & 1.52460907546 & 42.9904321576 & 44.488040197 & -1.31092062682 \\
GDS & 18268 & 1.1 & 0.72 & -99.0 & -99.0 & -99.0 & 53.23 & -27.76 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 10.24 & 1.099 & 5.28 & 0.1 & 10.93 & 0.101 & 0.0031 & 42.0041066595 & 44.5113965617 & 1.16460907546 & 42.8683921576 & 44.335490197 & -1.46347062682 \\
GDS & 18321 & 1.33 & 3.08 & 0.12 & 0.0 & 0.0 & 53.06 & -27.76 & 0.66 & 1.0 & 0.0 & 0.0 & GDS & 11.04 & 1.327 & 4.62 & 0.1 & 11.16 & 0.058 & 0.0031 & 42.2341066595 & 44.7413965617 & 1.39460907546 & 42.9463621576 & 44.432952697 & -1.36600812682 \\
GDS & 18352 & 1.76 & 1.3 & 0.08 & 0.25 & 0.0 & 53.12 & -27.76 & 0.3 & 0.88 & 0.16 & 0.03 & GDS & 9.79 & 1.7552 & 5.28 & 0.2 & 11.36 & 0.115 & 0.0194 & 43.2305466956 & 44.9342368546 & 1.58744936838 & 43.2841553298 & 44.8551941623 & -0.943766661519 \\
GDS & 18357 & 2.23 & 0.65 & 0.0 & 0.5 & 0.0 & 53.12 & -27.76 & 0.01 & 0.77 & 0.38 & 0.02 & GDS & 10.44 & 2.226 & 5.28 & 0.4 & 11.06 & 0.059 & 0.0916 & 43.6046404394 & 44.6010220912 & 1.25423460501 & 43.4109731089 & 45.0137163862 & -0.785244437611 \\
GDS & 18380 & 1.09 & 2.84 & 0.25 & 0.0 & 0.0 & 53.1 & -27.76 & 0.85 & 0.96 & 0.0 & 0.0 & GDS & 9.57 & 1.087 & 5.28 & 0.3 & 10.76 & 0.063 & 0.0489 & 43.0320538248 & 44.3209711474 & 0.974183661141 & 43.2168662466 & 44.7710828083 & -1.02787801552 \\
GDS & 18393 & 1.61 & 1.09 & 0.0 & 0.75 & 0.0 & 53.1 & -27.76 & 0.02 & 0.65 & 0.78 & 0.0 & GDS & 9.97 & 1.593 & 5.94 & 0.2 & 11.1 & 0.06 & 0.0194 & 42.9705466956 & 44.6742368546 & 1.32744936838 & 43.1960153298 & 44.7450191623 & -1.05394166152 \\
GDS & 18402 & 2.13 & 1.84 & 0.67 & 0.25 & 0.0 & 53.14 & -27.76 & 0.64 & 0.71 & 0.21 & 0.08 & GDS & 10.48 & 2.129 & 4.62 & 0.2 & 11.25 & 0.116 & 0.0194 & 43.1205466956 & 44.8242368546 & 1.47744936838 & 43.2468653298 & 44.8085816623 & -0.990379161519 \\
GDS & 18406 & 2.17 & 0.77 & 0.0 & 0.0 & 0.0 & 53.2 & -27.75 & 0.1 & 0.9 & 0.18 & 0.04 & GDS & 10.23 & 2.172 & 4.62 & 0.2 & 10.89 & 0.038 & 0.0194 & 42.7605466956 & 44.4642368546 & 1.11744936838 & 43.1248253298 & 44.6560316623 & -1.14292916152 \\
