\begin{table}
\begin{tabular}{ccccccccccccccccccccccccccc}
field_1 & ID & zbest_candels & gfit_n_h & SD_reliable & Irr_reliable & Compact_reliable & s14_RA & s14_Dec & visualHCPG_f_spheroid & visualHCPG_f_disk & visualHCPG_f_irr & visualHCPG_f_ps & field_2 & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR \\
GDS & 2096 & 1.09 & 0.36 & 0.0 & 0.0 & 0.0 & 53.19 & -27.9 & 0.02 & 0.98 & 0.08 & 0.0 & GDS & 9.29 & 1.07 & 4.62 & 0.1 & 10.39 & 0.029 & 0.0031 & 41.4641066595 & 43.9713965617 & 0.624609075465 & 42.6853321576 & 44.106665197 & -1.69229562682 \\
GDS & 2200 & 1.69 & 7.94 & -99.0 & -99.0 & -99.0 & 53.11 & -27.9 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 10.01 & 1.686 & 4.62 & 0.2 & 11.01 & 0.044 & 0.0194 & 42.8805466956 & 44.5842368546 & 1.23744936838 & 43.1655053298 & 44.7068816623 & -1.09207916152 \\
GDS & 2227 & 2.02 & 0.3 & 0.08 & 0.0 & 0.0 & 53.19 & -27.9 & 0.15 & 1.0 & 0.0 & 0.0 & GDS & 10.03 & 2.019 & 5.28 & 0.2 & 11.91 & 0.048 & 0.0194 & 43.7805466956 & 45.4842368546 & 2.13744936838 & 43.4706053298 & 45.0882566623 & -0.710704161519 \\
GDS & 2236 & 2.04 & 1.04 & 0.0 & 0.33 & 0.0 & 53.15 & -27.9 & 0.15 & 0.59 & 0.6 & 0.02 & GDS & 9.87 & 2.039 & 6.6 & 0.4 & 10.55 & 0.018 & 0.0916 & 43.0946404394 & 44.0910220912 & 0.744234605014 & 43.2380831089 & 44.7976038862 & -1.00135693761 \\
GDS & 2287 & 2.01 & 0.84 & 0.0 & 0.0 & 0.0 & 53.26 & -27.89 & 0.19 & 0.92 & 0.08 & 0.0 & GDS & 10.19 & 1.968 & 5.28 & 0.2 & 11.18 & 0.087 & 0.0194 & 43.0505466956 & 44.7542368546 & 1.40744936838 & 43.2231353298 & 44.7789191623 & -1.02004166152 \\
GDS & 2325 & 2.23 & 0.55 & 0.0 & 0.0 & 0.0 & 53.15 & -27.89 & 0.09 & 0.91 & 0.22 & 0.01 & GDS & 9.75 & 2.227 & 5.28 & 0.2 & 10.7 & 0.018 & 0.0194 & 42.5705466956 & 44.2742368546 & 0.927449368377 & 43.0604153298 & 44.5755191623 & -1.22344166152 \\
GDS & 2349 & 1.7 & 1.11 & 0.58 & 0.0 & 0.0 & 53.2 & -27.89 & 0.42 & 0.71 & 0.1 & 0.08 & GDS & 9.41 & 1.698 & 4.62 & 0.2 & 10.59 & 0.022 & 0.0194 & 42.4605466956 & 44.1642368546 & 0.817449368377 & 43.0231253298 & 44.5289066623 & -1.27005416152 \\
GDS & 2361 & 1.72 & 0.83 & 0.38 & 0.5 & 0.0 & 53.21 & -27.89 & 0.29 & 0.67 & 0.57 & 0.0 & GDS & 9.82 & 1.723 & 5.28 & 0.2 & 10.91 & 0.049 & 0.0194 & 42.7805466956 & 44.4842368546 & 1.13744936838 & 43.1316053298 & 44.6645066623 & -1.13445416152 \\
GDS & 2398 & 0.98 & 0.94 & 0.0 & 0.0 & 0.0 & 53.18 & -27.89 & 0.0 & 1.0 & 0.0 & 0.0 & GDS & 9.91 & 0.956 & 5.28 & 0.2 & 10.78 & 0.04 & 0.0194 & 42.6505466956 & 44.3542368546 & 1.00744936838 & 43.0875353298 & 44.6094191623 & -1.18954166152 \\
GDS & 2415 & 1.93 & 0.58 & 0.0 & 0.33 & 0.0 & 53.26 & -27.89 & 0.0 & 0.74 & 0.48 & 0.0 & GDS & 10.11 & 1.929 & 5.94 & 0.4 & 10.97 & 0.051 & 0.0916 & 43.5146404394 & 44.5110220912 & 1.16423460501 & 43.3804631089 & 44.9755788862 & -0.823381937611 \\
GDS & 2423 & 1.85 & 0.86 & -99.0 & -99.0 & -99.0 & 53.1 & -27.89 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 10.55 & 1.846 & 4.62 & 0.3 & 12.12 & 0.241 & 0.0489 & 44.3920538248 & 45.6809711474 & 2.33418366114 & 43.6779062466 & 45.3473828083 & -0.451578015524 \\
GDS & 2444 & 1.22 & 1.44 & 0.75 & 0.0 & 0.0 & 53.13 & -27.89 & 0.93 & 0.38 & 0.01 & 0.09 & GDS & 9.64 & 1.169 & 3.96 & 0.1 & 10.71 & 0.046 & 0.0031 & 41.7841066595 & 44.2913965617 & 0.944609075465 & 42.7938121576 & 44.242265197 & -1.55669562682 \\
GDS & 2457 & 1.42 & 1.8 & 0.25 & 0.0 & 0.0 & 53.19 & -27.89 & 0.86 & 0.68 & 0.02 & 0.07 & GDS & 10.3 & 1.421 & 4.62 & 0.2 & 11.48 & 0.105 & 0.0194 & 43.3505466956 & 45.0542368546 & 1.70744936838 & 43.3248353298 & 44.9060441623 & -0.892916661519 \\
GDS & 2526 & 1.38 & 1.39 & 0.44 & 0.0 & 0.0 & 53.18 & -27.89 & 0.78 & 0.71 & 0.01 & 0.07 & GDS & 9.54 & 1.377 & 3.96 & 0.2 & 10.55 & 0.018 & 0.0194 & 42.4205466956 & 44.1242368546 & 0.777449368377 & 43.0095653298 & 44.5119566623 & -1.28700416152 \\
GDS & 2551 & 1.48 & 1.19 & 0.0 & 0.33 & 0.0 & 53.24 & -27.89 & 0.08 & 0.46 & 0.73 & 0.01 & GDS & 10.2 & 1.476 & 5.94 & 0.1 & 11.01 & 0.044 & 0.0031 & 42.0841066595 & 44.5913965617 & 1.24460907546 & 42.8955121576 & 44.369390197 & -1.42957062682 \\
GDS & 2576 & 1.68 & 2.22 & 0.67 & 0.0 & 0.25 & 53.24 & -27.89 & 0.84 & 0.23 & 0.03 & 0.25 & GDS & 9.68 & 1.679 & 4.62 & 0.3 & 10.74 & 0.033 & 0.0489 & 43.0120538248 & 44.3009711474 & 0.954183661141 & 43.2100862466 & 44.7626078083 & -1.03635301552 \\
GDS & 2613 & 1.38 & 0.58 & 0.0 & 0.5 & 0.0 & 53.19 & -27.89 & 0.0 & 0.55 & 0.81 & 0.0 & GDS & 10.71 & 1.382 & 5.28 & 0.3 & 12.07 & 0.17 & 0.0489 & 44.3420538248 & 45.6309711474 & 2.28418366114 & 43.6609562466 & 45.3261953083 & -0.472765515524 \\
GDS & 2614 & 1.3 & 0.72 & 0.0 & 0.62 & 0.0 & 53.2 & -27.89 & 0.06 & 0.87 & 0.3 & 0.01 & GDS & 10.19 & 1.307 & 5.28 & 0.1 & 10.76 & 0.039 & 0.0031 & 41.8341066595 & 44.3413965617 & 0.994609075465 & 42.8107621576 & 44.263452697 & -1.53550812682 \\
GDS & 2615 & 1.57 & 0.51 & -99.0 & -99.0 & -99.0 & 53.06 & -27.89 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 10.27 & 1.567 & 5.28 & 0.2 & 11.4 & 0.089 & 0.0194 & 43.2705466956 & 44.9742368546 & 1.62744936838 & 43.2977153298 & 44.8721441623 & -0.926816661519 \\
GDS & 2674 & 1.11 & 1.58 & 0.75 & 0.75 & 0.0 & 53.14 & -27.89 & 0.25 & 0.45 & 0.74 & 0.0 & GDS & 9.97 & 1.107 & 4.62 & 0.1 & 11.37 & 0.202 & 0.0031 & 42.4441066595 & 44.9513965617 & 1.60460907546 & 43.0175521576 & 44.521940197 & -1.27702062682 \\
GDS & 2744 & 1.61 & 1.9 & 0.69 & 0.12 & 0.0 & 53.21 & -27.89 & 0.76 & 0.78 & 0.18 & 0.02 & GDS & 10.11 & 1.632 & 4.62 & 0.1 & 11.39 & 0.089 & 0.0031 & 42.4641066595 & 44.9713965617 & 1.62460907546 & 43.0243321576 & 44.530415197 & -1.26854562682 \\
GDS & 2763 & 1.69 & 2.76 & -99.0 & -99.0 & -99.0 & 53.04 & -27.89 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 10.28 & 1.69 & 5.94 & 0.2 & 10.8 & 0.03 & 0.0194 & 42.6705466956 & 44.3742368546 & 1.02744936838 & 43.0943153298 & 44.6178941623 & -1.18106666152 \\
GDS & 2766 & 2.05 & 0.6 & 0.0 & 0.38 & 0.0 & 53.19 & -27.89 & 0.04 & 0.78 & 0.41 & 0.03 & GDS & 9.93 & 1.69 & 5.28 & 0.3 & 10.9 & 0.043 & 0.0489 & 43.1720538248 & 44.4609711474 & 1.11418366114 & 43.2643262466 & 44.8304078083 & -0.968553015524 \\
GDS & 10000 & 3.87 & 0.76 & 0.0 & 0.0 & 0.0 & 53.07 & -27.82 & 0.01 & 0.96 & 0.03 & 0.02 & GDS & 10.19 & 1.212 & 5.28 & 0.3 & 11.49 & 0.088 & 0.0489 & 43.7620538248 & 45.0509711474 & 1.70418366114 & 43.4643362466 & 45.0804203083 & -0.718540515524 \\
