\begin{table}
\begin{tabular}{cccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & sSFR & dist_MS & dist_MS_lin \\
GDS & 26300 & 10.02 & 1.005 & 4.62 & 0.3 & 10.78 & 0.067 & 0.0489 & 43.0520538248 & 44.3409711474 & 0.994183661141 & 43.2236462466 & 44.7795578083 & -1.01940301552 & -9.02581633886 & -10.7944328337 & -10.5741475759 \\
GDS & 1902 & 8.79 & 1.01 & 5.94 & 0.2 & 10.6 & 0.04 & 0.0194 & 42.4705466956 & 44.1742368546 & 0.827449368377 & 43.0265153298 & 44.5331441623 & -1.26581666152 & -7.96255063162 & -9.73116712645 & -9.51088186865 \\
GDS & 15959 & 9.56 & 1.011 & 5.94 & 0.1 & 10.16 & 0.023 & 0.0031 & 41.2341066595 & 43.7413965617 & 0.394609075465 & 42.6073621576 & 44.009202697 & -1.78975812682 & -9.16539092454 & -10.9340074194 & -10.7137221616 \\
GDS & 1918 & 10.28 & 1.012 & 5.28 & 0.1 & 10.79 & 0.058 & 0.0031 & 41.8641066595 & 44.3713965617 & 1.02460907546 & 42.8209321576 & 44.276165197 & -1.52279562682 & -9.25539092454 & -11.0240074194 & -10.8037221616 \\
GDS & 19508 & 10.29 & 1.0143 & 5.28 & 0.1 & 11.12 & 0.12 & 0.0031 & 42.1941066595 & 44.7013965617 & 1.35460907546 & 42.9328021576 & 44.416002697 & -1.38295812682 & -8.93539092454 & -10.7040074194 & -10.4837221616 \\
GDS & 16514 & 10.6 & 1.018 & 3.5 & 0.2 & 10.75 & 0.08 & 0.0194 & 42.6205466956 & 44.3242368546 & 0.977449368377 & 43.0773653298 & 44.5967066623 & -1.20225416152 & -9.62255063162 & -11.3911671265 & -11.1708818687 \\
GDS & 15924 & 9.27 & 1.02 & 3.96 & 0.2 & 10.84 & 0.094 & 0.0194 & 42.7105466956 & 44.4142368546 & 1.06744936838 & 43.1078753298 & 44.6348441623 & -1.16411666152 & -8.20255063162 & -9.97116712645 & -9.75088186865 \\
GDS & 10099 & 9.75 & 1.0202 & 4.62 & 0.1 & 10.4 & 0.041 & 0.0031 & 41.4741066595 & 43.9813965617 & 0.634609075465 & 42.6887221576 & 44.110902697 & -1.68805812682 & -9.11539092453 & -10.8840074194 & -10.6637221616 \\
GDS & 11058 & 9.57 & 1.023 & 4.62 & 0.06 & 10.14 & 0.022 & 0.000276 & 40.1636540478 & 43.7226250839 & 0.375837597645 & 42.2444787222 & 43.5555984027 & -2.24336242105 & -9.19416240235 & -10.9627788972 & -10.7424936394 \\
GDS & 24497 & 10.53 & 1.031 & 3.5 & 0.8 & 11.83 & 2.304 & 0.3944 & 45.008681872 & 45.1949308322 & 1.84814334596 & 43.8869431546 & 45.6086789432 & -0.190281880546 & -8.68185665404 & -10.4504731489 & -10.2301878911 \\
