\begin{table}
\begin{tabular}{cccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & sSFR & dist_MS & dist_MS_lin \\
EGS & 8938 & 9.94238 & 0.782 & 5.28 & 0.1 & 10.76 & 0.102 & 0.0031 & 41.8341066595 & 44.3413965617 & 0.994609075465 & 42.8107621576 & 44.263452697 & -1.53550812682 & -8.94777092453 & -10.3359396483 & -9.99796355111 \\
EGS & 21809 & 9.05481 & 0.784 & 5.28 & 0.2 & 10.32 & 0.036 & 0.0194 & 42.1905466956 & 43.8942368546 & 0.547449368377 & 42.9315953298 & 44.4144941623 & -1.38446666152 & -8.50736063162 & -9.89552935538 & -9.55755325819 \\
UDS & 15679 & 10.2253092817 & 0.785 & 5.2800002 & 0.3 & 10.99 & 0.099 & 0.0489 & 43.2620538248 & 44.5509711474 & 1.20418366114 & 43.2948362466 & 44.8685453083 & -0.930415515524 & -9.02112562056 & -10.4092943443 & -10.0713182471 \\
UDS & 7247 & 10.4785664956 & 0.786 & 3.96 & 0.2 & 11.06 & 0.124 & 0.0194 & 42.9305466956 & 44.6342368546 & 1.28744936838 & 43.1824553298 & 44.7280691623 & -1.07089166152 & -9.19111712722 & -10.579285851 & -10.2413097538 \\
UDS & 14014 & 9.74818802701 & 0.787 & 4.6199999 & 0.3 & 11.17 & 0.196 & 0.0489 & 43.4420538248 & 44.7309711474 & 1.38418366114 & 43.3558562466 & 44.9448203083 & -0.854140515524 & -8.36400436587 & -9.75217308962 & -9.41419699244 \\
COS & 543 & 10.5346 & 0.788 & 4.62 & 0.3 & 10.65 & 0.151 & 0.0489 & 42.9220538248 & 44.2109711474 & 0.864183661141 & 43.1795762466 & 44.7244703083 & -1.07449051552 & -9.67041633886 & -11.0585850626 & -10.7206089654 \\
EGS & 4244 & 10.2527 & 0.789 & 5.28 & 0.3 & 11.31 & 0.369 & 0.0489 & 43.5820538248 & 44.8709711474 & 1.52418366114 & 43.4033162466 & 45.0041453083 & -0.794815515524 & -8.72851633886 & -10.1166850626 & -9.77870896543 \\
COS & 8142 & 10.3407 & 0.79 & 4.62 & 0.3 & 10.74 & 0.26 & 0.0489 & 43.0120538248 & 44.3009711474 & 0.954183661141 & 43.2100862466 & 44.7626078083 & -1.03635301552 & -9.38651633886 & -10.7746850626 & -10.4367089654 \\
COS & 27642 & 9.66947 & 0.79 & 3.96 & 0.1 & 10.54 & 0.062 & 0.0031 & 41.6141066595 & 44.1213965617 & 0.774609075465 & 42.7361821576 & 44.170227697 & -1.62873312682 & -8.89486092454 & -10.2830296483 & -9.94505355111 \\
COS & 4869 & 9.77306 & 0.79 & 5.94 & 0.5 & 10.57 & 0.098 & 0.1475 & 43.321536986 & 44.0834393534 & 0.736651867131 & 43.3150010383 & 44.8937512978 & -0.905209525969 & -9.03640813287 & -10.4245768566 & -10.0866007594 \\
